config_string,train_loss,train_accuracy,train_error,validation_loss,validation_accuracy,validation_error
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.7490067777122773&fully_connected_dropout=0.22625881581074148,1.00576,0.466796875,0.533203125,1.16235,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.9611606932971195&fully_connected_dropout=0.2896920196133037,1.00442,0.466796875,0.533203125,1.16481,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.7210974833150559&fully_connected_dropout=0.2607850467624456,1.00251,0.466796875,0.533203125,1.16492,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=0.2880203425589609&fully_connected_dropout=0.4587586187909294,0.0688386,0.98828125,0.01171875,2.36971,0.803385416667,0.196614583333
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=0.7330792914066765&fully_connected_dropout=0.19929671770910717,1.01207,0.42578125,0.57421875,1.17328,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=0.3108267009716216&fully_connected_dropout=0.3689618480170921,0.22194,0.81640625,0.18359375,2.49698,0.611328125,0.388671875
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=0.11532849011269086&fully_connected_dropout=0.43065002724134693,1.01404,0.42578125,0.57421875,1.17578,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=0.6132622506462242&fully_connected_dropout=0.6791865492744367,0.188845,0.841796875,0.158203125,1.89119,0.61328125,0.38671875
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=0.7748875422699659&fully_connected_dropout=0.6269945532596726,0.186009,0.845703125,0.154296875,1.75564,0.614583333333,0.385416666667
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=0.82905102763378&fully_connected_dropout=0.08678278605136824,1.01318,0.42578125,0.57421875,1.17492,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=0.4536628775810403&fully_connected_dropout=0.17241131958888234,1.01173,0.42578125,0.57421875,1.17302,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=0.8904273285619557&fully_connected_dropout=0.696810381877227,0.00363463,0.998046875,0.001953125,2.62369,0.833333333333,0.166666666667
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=0.6979972802969969&fully_connected_dropout=0.9089624431634572,0.00475092,0.9921875,0.0078125,2.03527,0.825520833333,0.174479166667
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=0.9022838444988984&fully_connected_dropout=0.23175560893954228,1.01244,0.42578125,0.57421875,1.17257,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=0.7838140060744762&fully_connected_dropout=0.314269404405931,0.275647,0.83984375,0.16015625,1.21941,0.620442708333,0.379557291667
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=0.21573427355990638&fully_connected_dropout=0.15718010575046304,1.01252,0.42578125,0.57421875,1.17246,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=1&fully_connected_dropout=1,0.427507,0.802734375,0.197265625,0.742605,0.62890625,0.37109375
